Chapter,Tenor,Vehicle,Sentence
1,wandering,spirit,through the rich interior of this mansion mr pett its nominal proprietor was wandering like a lost spirit
1,finding,dove,six brilliant youths mostly novelists who had not yet started and poets who were about to begin cluttered up mr petts rooms on this fair june morning while he clutching his sunday paper wandered about finding like the dove in genesis no rest
1,hear,office,he loved to hear the sound of a typewriter it made home so like the office
1,belongs,rule,the room in which mr pett found himself was small but cosy and its cosinessoddly considering the sex of its ownerhad that peculiar quality which belongs as a rule to the dens of men
1,cast,pett,she was cast in the same formidable mould as mrs pett and resembled her strikingly both in appearance and character
1,felt,chorus,mr pett who always felt his responsibilities as chorus keenly during these wifely monologues surmised that a remark from him was indicated
1,turned,tigress,mrs pett turned on him like a wounded tigress
1,pugnacious,persons,she was usually as quickly remorseful as she was quickly pugnacious like most persons of her colour
1,looked,whom loafer,notably his wifes nephew willie partridge whom he looked on as a specious loafer
1,canonised,elmer,the late mr ford had spent most of his married life either quarrelling with or separated from his wife but since death he had been canonised as poor dear elmer
1,acted,kind,a narrow strip of forehead acted as a kind of bufferstate separating his front hair from his eyebrows and he bore beyond hope of concealment the badge of his late employment the cauliflower ear
1,felt,deuce,i felt like a dirty deuce in a clean deck
1,grow,crocker,if hes allowed to go on as he is at present he will grow up exactly like jimmy crocker
1,watched,man,he watched ann as a trapped man might watch a ticking bomb bracing himself for the explosion and knowing that he is helpless
1,call,boy,father told me in one of his letters that he used to call you patient pete as a boy
2,looked,revelation,many who enjoyed a merely casual acquaintance with the butler would have looked on this as an astonishingly unexpected revelation of humanity in bayliss but mr crocker was not surprised
2,address,bill,mr crockers mind had adjusted itself with difficulty to the niceties of class distinction and while he had cured himself of his early tendency to address the butler as bill he never failed to consult him as man to man in his moments of perplexity
2,struck,shade,true his manner might have struck a more sensitive man than his employer as a shade too closely resembling that of an indulgent father towards a son who was not quite right in the head but it had genuine affection in it
2,snorted,warhorse,his eyes shone wildly and he snorted like a warhorse
2,known,rounders,it is known in england as rounders sir
2,heard,pastime,i had never heard of it before as a pastime for adults
2,come,surprise,for fortyfive years he had lived a handtomouth existence in which his next meal had generally come as a pleasant surprise and then on an atlantic liner he met the widow of g g van brunt the sole heiress to that magnates immense fortune
2,began,strangers,they began the voyage as strangers and ended it as an engaged couplethe affair being expedited no doubt by the fact that even if it ever occurred to bingley to resist the onslaught on his bachelor peace he soon realised the futility of doing so for the cramped conditions of shipboard intensified the always overwhelming effects of his future brides determined nature
2,described,mummer,at least the fact that in her final interview with her sister she described the bridegroomtobe as a wretched mummer a despicable fortunehunter a brokendown tramp and a sneaking grafting confidencetrickster lends colour to the supposition that she was not a warm supporter of it
2,treats,joke,the family treats it as a joke
2,stricken,saul,like saul of tarsus he had been stricken dumb by the sudden bright light which his wifes words had caused to flash upon him
2,smitten,blackjack,and yet what meaning would her words have other than the monstrous one which had smitten him as a blackjack
3,affected,baseball,like baseball this pastime of cricket was apparently affected by rain if there had been enough of it
3,republican,stars,for he was clothed in one of those roomy suits with square shoulders which to the seeing eye are as republican as the stars and stripes
3,despised,vulgarian,a chill passed through him as he pictured what would have been eugenias reception of the information that he had committed such a bourgeois solecism as opening the front door to mrs pett of all people who already despised him as a low vulgarian
3,pictured,individual,he pictured him as a handsome powerful robust individual with a strong jaw and a loud voice for he could imagine no lesser type of man consenting to link his lot with such a woman
3,popped,jackinthebox,he had contrived to create about himself such a defensive atmosphere of nonexistence that now that he reentered the conversation it was as if a corpse had popped out of its tomb like a jackinthebox
3,looks,home,he always says that he looks on my house as quite a home
4,say,friend,i say this to you as a friend
5,known,pride,at an early hour this morning when our myriad readers were enjoying that refreshing and brainrestoring sleep so necessary to the proper appreciation of the _daily sun_ at the breakfast table one of the most interesting sporting events of the season was being pulled off at the six hundred club in regent street where after three rounds of fast exchanges james b crocker the wellknown american welterweight scrapper succeeded in stopping lord percy whipple second son of the duke of devizes better known as the pride of old england
5,describe,mazzard,one word leading to others which in their turn led to several more cyclone jim struck battling percy on what our rude forefathers were accustomed to describe as the mazzard and the gong sounded for round one both men came up fresh and eager to mix things though it seems only too probable that they had already been mixing more things than was good for them
5,adopt,profession,i shall not adopt pugilism as a profession
5,much,work,the prizes are attractive but it is too much like work
5,shared,thing,he had anticipated that mr crocker who as a general thing shared his notions of what was funny and could be relied on to laugh in the right place would have been struck like himself by the odd and pleasing coincidence of his having picked on for purposes of assault and battery the one young man with whom his stepmother wished him to form a firm and lasting friendship
6,read,bayliss,he eyed jimmy on receiving his name with an interest which he failed to conceal for he too like bayliss had read and heartily enjoyed bill blakes spirited version of the affair of last night which had appeared in the _daily sun_
6,come,commentary,when an accidental happening chances to fit smoothly in with a mood seeming to come as a direct commentary on that mood we are apt to accept it in defiance of our pure reason as an omen
6,lose,power,the little man seemed depressed at the discovery that corn on the cob and softshelled crabs were not to be obtained and his wifes reception of the news that clams were not included in the regents billoffare was so indignant that one would have said that she regarded the fact as evidence that great britain was going to pieces and would shortly lose her place as a world power
6,pull,nights,if i stay on in london i am likely at any moment to pull some boner like last nights which will spill the beans for you once more
6,standing,watchdog,the platform was a confused mass of travellers porters baggage trucks boys with buns and fruits boys with magazines friends relatives and bayliss the butler standing like a faithful watchdog beside a large suitcase
6,clove,flyingwedge,jimmy clove the crowd like a oneman flyingwedge
6,drifted,leaves,two fruit and bun boys who impeded his passage drifted away like leaves on an autumn gale
6,whizzed,jackrabbit,he saw an egg standing on its head and whizzed off like a jackrabbit
6,skimmed,waterbeetles,porters skimmed to and fro like waterbeetles
6,aware,ann,he was aware like ann farther along the train of a lump in his throat
7,desired,alleviation,he had passed the last few days in a condition of intermittent melancholy consequent on the discovery that he was not the only man on board the _atlantic_ who desired the society of ann as an alleviation of the tedium of an ocean voyage
7,known,shuffleboard,almost immediately after breakfast on the very first day a creature with a small black moustache and shining teeth had descended upon ann and vocal with surprise and pleasure at meeting her againhe claimed damn him to have met her before at palm beach bar harbor and a dozen other placeshad carried her off to play an idiotic game known as shuffleboard
7,described,grouch,it is trying for a strongminded clearthinking girl to have her philosophy described as a grouch
7,believe,partnership,i believe in it as a sensible partnership between two friends who know each other well and trust each other
